Category,Subcategory,Supplier,Brand,Region,Year,Month,Units Month, Values Month ,Units YTD, Values YTD ,Units MAT, Values MAT 
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,1,11560," $62,800 ",11560," $62,800 ",11560," $62,800 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,2,10750," $58,360 ",22310," $121,160 ",22310," $121,160 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,3,11020," $59,840 ",33330," $181,000 ",33330," $181,000 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,4,11310," $61,400 ",44640," $242,400 ",44640," $242,400 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,5,13780," $74,870 ",58420," $317,270 ",58420," $317,270 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,6,13260," $72,050 ",71680," $389,320 ",71680," $389,320 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,7,11710," $63,620 ",83390," $452,940 ",83390," $452,940 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,8,12800," $69,500 ",96190," $522,440 ",96190," $522,440 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,9,9140," $49,640 ",105330," $572,080 ",105330," $572,080 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,10,11690," $63,460 ",117020," $635,540 ",117020," $635,540 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,11,9520," $51,710 ",126540," $687,250 ",126540," $687,250 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,12,13110," $71,200 ",139650," $758,450 ",139650," $758,450 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,1,9280," $55,560 ",9280," $55,560 ",137370," $751,210 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,2,11380," $68,140 ",20660," $123,700 ",138000," $760,990 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,3,10990," $65,840 ",31650," $189,540 ",137970," $766,990 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,4,11920," $71,430 ",43570," $260,970 ",138580," $777,020 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,5,10080," $60,330 ",53650," $321,300 ",134880," $762,480 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,6,9190," $55,050 ",62840," $376,350 ",130810," $745,480 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,7,9430," $56,520 ",72270," $432,870 ",128530," $738,380 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,8,7960," $47,700 ",80230," $480,570 ",123690," $716,580 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,9,9110," $54,500 ",89340," $535,070 ",123660," $721,440 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,10,9720," $58,230 ",99060," $593,300 ",121690," $716,210 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,11,7430," $44,480 ",106490," $637,780 ",119600," $708,980 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,12,8040," $48,180 ",114530," $685,960 ",114530," $685,960 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,1,8170," $48,950 ",8170," $48,950 ",113420," $679,350 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,2,7240," $43,390 ",15410," $92,340 ",109280," $654,600 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,3,10530," $63,090 ",25940," $155,430 ",108820," $651,850 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,4,8930," $53,510 ",34870," $208,940 ",105830," $633,930 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,5,7250," $43,460 ",42120," $252,400 ",103000," $617,060 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,6,8700," $52,140 ",50820," $304,540 ",102510," $614,150 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,7,7170," $42,940 ",57990," $347,480 ",100250," $600,570 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,8,7880," $47,160 ",65870," $394,640 ",100170," $600,030 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,9,7330," $43,910 ",73200," $438,550 ",98390," $589,440 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,10,8500," $50,920 ",81700," $489,470 ",97170," $582,130 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,11,7210," $43,200 ",88910," $532,670 ",96950," $580,850 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,12,8770," $52,550 ",97680," $585,220 ",97680," $585,220 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,1,8950," $53,620 ",8950," $53,620 ",98460," $589,890 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,2,6990," $41,850 ",15940," $95,470 ",98210," $588,350 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,3,8110," $48,550 ",24050," $144,020 ",95790," $573,810 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,4,7240," $43,370 ",31290," $187,390 ",94100," $563,670 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,5,6700," $40,120 ",37990," $227,510 ",93550," $560,330 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,6,7310," $43,810 ",45300," $271,320 ",92160," $552,000 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,7,7390," $44,260 ",52690," $315,580 ",92380," $553,320 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,8,6720," $40,240 ",59410," $355,820 ",91220," $546,400 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,9,7110," $42,580 ",66520," $398,400 ",91000," $545,070 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,10,7480," $44,810 ",74000," $443,210 ",89980," $538,960 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,11,6100," $36,560 ",80100," $479,770 ",88870," $532,320 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,12,7480," $44,810 ",87580," $524,580 ",87580," $524,580 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,1,6660," $39,930 ",6660," $39,930 ",85290," $510,890 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,2,6070," $36,340 ",12730," $76,270 ",84370," $505,380 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,3,6850," $41,030 ",19580," $117,300 ",83110," $497,860 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,4,6310," $37,800 ",25890," $155,100 ",82180," $492,290 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,5,6270," $37,520 ",32160," $192,620 ",81750," $489,690 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,6,7440," $44,580 ",39600," $237,200 ",81880," $490,460 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,7,5420," $32,480 ",45020," $269,680 ",79910," $478,680 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,8,6570," $39,300 ",51590," $308,980 ",79760," $477,740 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,9,4930," $29,550 ",56520," $338,530 ",77580," $464,710 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,10,4660," $28,660 ",61180," $367,190 ",74760," $448,560 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,11,3460," $23,720 ",64640," $390,910 ",72120," $435,720 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,12,2930," $20,120 ",67570," $411,030 ",67570," $411,030 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,1,4310," $29,790 ",4310," $29,790 ",65220," $400,890 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,2,5630," $38,970 ",9940," $68,760 ",64780," $403,520 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,3,5660," $39,270 ",15600," $108,030 ",63590," $401,760 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,1,10910," $59,250 ",10910," $59,250 ",10910," $59,250 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,2,9650," $52,380 ",20560," $111,630 ",20560," $111,630 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,3,11350," $61,660 ",31910," $173,290 ",31910," $173,290 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,4,10870," $59,010 ",42780," $232,300 ",42780," $232,300 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,5,11990," $65,080 ",54770," $297,380 ",54770," $297,380 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,6,10610," $57,630 ",65380," $355,010 ",65380," $355,010 "
